hash_,rating,position,name,club,league,country,skillboost
2050,88,CDM,Borges,Göztepe,"Turkey Süper Lig","Costa Rica",DESTROYER
2051,88,RW,Fuenzalida,"Universidad Católica","Chile Primera División",Chile,ATTACKING
2052,88,RM,Asprilla,"Al Shabab","Saudi Pro League",Colombia,LONGSHOTS
2053,88,LWB,Estupiñán,"CA Osasuna","Spain Primera División",Ecuador,PACE
2054,88,GK,Cillessen,"Valencia CF","Spain Primera División",Netherlands,NUMBER1
2055,88,LW,Chadli,Anderlecht,"Belgium Pro League",Belgium,AGILITY
2056,88,ST,Lacazette,Arsenal,"England Premier League",France,POACHER
2057,88,CM,Castrovilli,Fiorentina,"Italy Serie A",Italy,PASSING
2058,88,LM,Aubameyang,Arsenal,"England Premier League",Gabon,COUNTER
2059,88,RB,Chambers,Arsenal,"England Premier League",England,REACTIONS
2060,88,ST,Ibrahimović,Milan,"Italy Serie A",Sweden,POACHER
2061,88,ST,En-Nesyri,"Sevilla FC","Spain Primera División",Morocco,SECONDSTRIKER
2062,88,LW,"Vinícius Jr.","Real Madrid","Spain Primera División",Brazil,SHOTPOWER
2063,88,CB,Andersen,"Olympique Lyonnais","France Ligue 1",Denmark,STOPPER
2064,88,GK,Lopes,"Olympique Lyonnais","France Ligue 1",Portugal,REFLEXES
2065,88,ST,Cissé,Alanyaspor,"Turkey Süper Lig",Senegal,FINISHING
2066,88,CDM,Rice,"West Ham United","England Premier League",England,DESTROYER
2067,88,ST,Barnes,Burnley,"England Premier League",England,SECONDSTRIKER
2068,88,CM,Modrić,"Real Madrid","Spain Primera División",Croatia,BOXTOBOX
2069,88,CDM,"Lucas Leiva",Lazio,"Italy Serie A",Brazil,DESTROYER
2070,88,GK,"ter Stegen","FC Barcelona","Spain Primera División",Germany,GKGENERALIST
2071,88,RB,"Di Lorenzo",Napoli,"Italy Serie A",Italy,BALANCED
2072,88,LM,Sansone,Bologna,"Italy Serie A",Italy,FREEKICK
2073,88,GK,Romo,"Silkeborg IF","Denmark Superliga",Venezuela,DIVING
2074,88,CB,"van Dijk",Liverpool,"England Premier League",Netherlands,PHYSICAL
2075,88,ST,Suárez,"FC Barcelona","Spain Primera División",Uruguay,TARGETMAN
2076,88,ST,Jahović,Alanyaspor,"Turkey Süper Lig","FYR Macedonia",SHOOTING
2077,88,CF,Mariano,"Real Madrid","Spain Primera División","Dominican Republic",SECONDSTRIKER
2078,88,RW,Salah,Liverpool,"England Premier League",Egypt,SHOTPOWER
2079,88,CB,Mancini,Roma,"Italy Serie A",Italy,STOPPER
2080,88,GK,"Rui Patrício","Wolverhampton Wanderers","England Premier League",Portugal,REFLEXES
2081,88,CB,Maguire,"Manchester United","England Premier League",England,STOPPER
2082,88,CM,Hamšík,"Dalian Yifang","China Super League",Slovakia,CAPTAIN
2083,88,LM,Saint-Maximin,"Newcastle United","England Premier League",France,COUNTER
2084,88,LW,Flores,"D.C. United","USA Major League Soccer",Peru,ATTACKING
2085,88,LW,Greene,"Shamrock Rovers","Rep. Ireland Premier Division","Republic of Ireland",ATTACKING
2086,88,ST,Mbokani,Antwerp,"Belgium Pro League","Congo DR",FINISHING
2087,88,CB,Ginter,"Borussia M gladbach","Germany 1. Bundesliga",Germany,TACKLING
2088,88,LM,Hayes,Celtic,"Scotland Premiership","Republic of Ireland",BALLCONTROL
2089,88,LW,Insigne,Napoli,"Italy Serie A",Italy,SHOTPOWER
2090,88,RW,Boyle,Hibernian,"Scotland Premiership",Australia,DRIBBLING
2091,88,CM,Fleck,"Sheffield United","England Premier League",Scotland,CAPTAIN
2092,88,ST,"Paco Alcácer","Villarreal CF","Spain Primera División",Spain,SECONDSTRIKER
2093,88,LB,Bernat,"Paris Saint-Germain","France Ligue 1",Spain,REACTIONS
2094,88,ST,Barnes,Burnley,"England Premier League",England,SECONDSTRIKER
2095,88,ST,Reyna,"Vancouver Whitecaps","USA Major League Soccer",Peru,ACCELERATION
2096,88,CB,Felipe,"Atlético de Madrid","Spain Primera División",Brazil,AGGRESSION
2097,88,ST,Suárez,"FC Barcelona","Spain Primera División",Uruguay,TARGETMAN
2098,88,RB,Klostermann,"RB Leipzig","Germany 1. Bundesliga",Germany,CROSSING
2099,88,LW,Chadli,Anderlecht,"Belgium Pro League",Belgium,AGILITY
2100,88,CDM,Rodríguez,"Real Betis Balompié","Spain Primera División",Argentina,DESTROYER
2101,88,CDM,Borges,Göztepe,"Turkey Süper Lig","Costa Rica",DESTROYER
2102,88,CM,Castrovilli,Fiorentina,"Italy Serie A",Italy,PASSING
2103,88,RM,Asprilla,"Al Shabab","Saudi Pro League",Colombia,LONGSHOTS
2104,88,LB,Petit,"AS Monaco","France Ligue 1",France,DEFENDING
2105,88,LWB,Estupiñán,"CA Osasuna","Spain Primera División",Ecuador,PACE
2106,88,ST,En-Nesyri,"Sevilla FC","Spain Primera División",Morocco,SECONDSTRIKER
2107,88,GK,"Rui Patrício","Wolverhampton Wanderers","England Premier League",Portugal,REFLEXES
2108,88,GK,Lopes,"Olympique Lyonnais","France Ligue 1",Portugal,REFLEXES
2109,88,GK,Bizot,AZ,"Holland Eredivisie",Netherlands,NUMBER1
2110,88,GK,Jarstein,"Hertha BSC","Germany 1. Bundesliga",Norway,NUMBER1
2111,88,CDM,Rice,"West Ham United","England Premier League",England,DESTROYER
2112,88,RB,Corona,"FC Porto","Portugal Primeira Liga",Mexico,BALANCED
2113,88,CM,Guardado,"Real Betis Balompié","Spain Primera División",Mexico,LONGPASSING
2114,88,ST,Mbokani,Antwerp,"Belgium Pro League","Congo DR",FINISHING
2115,88,LB,Kamara,"Stade de Reims","France Ligue 1",France,DEFENDING
2116,88,CB,Umtiti,"FC Barcelona","Spain Primera División",France,TACKLING
2117,88,CM,"van de Beek",Ajax,"Holland Eredivisie",Netherlands,CAPTAIN
2118,88,ST,Delort,"Montpellier HSC","France Ligue 1",Algeria,SECONDSTRIKER
2119,88,CAM,Isco,"Real Madrid","Spain Primera División",Spain,VISION
2120,88,CM,Fleck,"Sheffield United","England Premier League",Scotland,CAPTAIN
2121,88,CB,Tarkowski,Burnley,"England Premier League",England,PHYSICAL
2122,88,GK,Navas,"Paris Saint-Germain","France Ligue 1","Costa Rica",NUMBER1
2123,88,CAM,Embolo,"Borussia M gladbach","Germany 1. Bundesliga",Switzerland,LONGSHOTS
2124,88,ST,Waldschmidt,"SC Freiburg","Germany 1. Bundesliga",Germany,FINISHING
2125,88,CB,Romero,Genoa,"Italy Serie A",Argentina,MARKING
2126,88,CM,Guardado,"Real Betis Balompié","Spain Primera División",Mexico,LONGPASSING
2127,88,ST,Joelinton,"Newcastle United","England Premier League",Brazil,ACCELERATION
2128,88,LW,Sterling,"Manchester City","England Premier League",England,DRIBBLING
2129,88,GK,Gulácsi,"RB Leipzig","Germany 1. Bundesliga",Hungary,REFLEXES
2130,88,CF,Aubameyang,Arsenal,"England Premier League",Gabon,SECONDSTRIKER
2131,88,CB,Maguire,"Manchester United","England Premier League",England,STOPPER
2132,88,CM,Hamšík,"Dalian Yifang","China Super League",Slovakia,CAPTAIN
2133,88,GK,Bizot,AZ,"Holland Eredivisie",Netherlands,NUMBER1
2134,88,RW,Hulk,"Shanghai SIPG","China Super League",Brazil,ATTACKING
2135,88,CM,"van de Beek",Ajax,"Holland Eredivisie",Netherlands,CAPTAIN
2136,88,CAM,Embolo,"Borussia M gladbach","Germany 1. Bundesliga",Switzerland,LONGSHOTS
2137,88,RM,Sancho,"Borussia Dortmund","Germany 1. Bundesliga",England,BALLCONTROL
2138,88,RB,Klostermann,"RB Leipzig","Germany 1. Bundesliga",Germany,CROSSING
2139,88,CAM,Eriksen,"Tottenham Hotspur","England Premier League",Denmark,VISION
2140,88,CDM,Serdar,"FC Schalke 04","Germany 1. Bundesliga",Germany,BOXTOBOX
2141,88,CM,Modrić,"Real Madrid","Spain Primera División",Croatia,BOXTOBOX
2142,88,ST,Toney,"Peterborough United","England League One",England,SECONDSTRIKER
2143,88,ST,Loren,"Real Betis Balompié","Spain Primera División",Spain,FINISHING
2144,88,ST,Chalov,"CSKA Moskva","Rest of W",Russia,SECONDSTRIKER
2145,88,RM,Ömür,Trabzonspor,"Turkey Süper Lig",Turkey,COUNTER
2146,88,CB,Ayhan,"Fortuna Düsseldorf","Germany 1. Bundesliga",Turkey,TACKLING
2147,88,CAM,Zaracho,"Racing Club de Avellaneda","Argentina Primera División",Argentina,LONGSHOTS
2148,88,CB,"Fernando Hierro","Real Madrid","Spain Primera División",Spain,HOLDING
2149,88,ST,Gutiérrez,"Junior de Barranquilla","Colombia Categoría Primera",Colombia,FINISHING
2150,88,CB,"van Dijk",Liverpool,"England Premier League",Netherlands,PHYSICAL
2151,88,GK,Jarstein,"Hertha BSC","Germany 1. Bundesliga",Norway,NUMBER1
2152,88,CB,Mathoho,"Kaizer Chiefs","Rest of W","South Africa",HOLDING
2153,88,ST,Watkins,Brentford,"England Championship",England,SHOOTING
2154,88,GK,"Singh Sandhu","Bengaluru FC","Indian Super League",India,NUMBER1
2155,88,ST,"Lucas Pérez","Deportivo Alavés","Spain Primera División",Spain,ACCELERATION
2156,88,RM,Maina,"Hannover 96","Germany 2. Bundesliga",Germany,COUNTER
2157,88,RM,Hazard,"Cercle Brugge","Belgium Pro League",Belgium,LONGSHOTS
2158,88,CDM,Serdar,"FC Schalke 04","Germany 1. Bundesliga",Germany,BOXTOBOX
2159,88,RW,Hulk,"Shanghai SIPG","China Super League",Brazil,ATTACKING
2160,88,ST,Waldschmidt,"SC Freiburg","Germany 1. Bundesliga",Germany,FINISHING
2161,88,CB,Bonucci,"Piemonte Calcio","Italy Serie A",Italy,HOLDING
2162,88,CB,"Park Ji Soo","Guangzhou Evergrande Taobao","China Super League","Korea Republic",HOLDING
2163,88,CB,Marquinhos,"Paris Saint-Germain","France Ligue 1",Brazil,TACKLING
2164,88,LM,Rafa,"SL Benfica","Portugal Primeira Liga",Portugal,COUNTER
2165,88,RW,Gnabry,"Bayern München","Germany 1. Bundesliga",Germany,ATTACKING
2166,88,RB,Kimmich,"Bayern München","Germany 1. Bundesliga",Germany,BALANCED
2167,88,ST,Joelinton,"Newcastle United","England Premier League",Brazil,ACCELERATION
2168,88,CB,Škriniar,Inter,"Italy Serie A",Slovakia,MARKING
2169,88,ST,Loren,"Real Betis Balompié","Spain Primera División",Spain,FINISHING
2170,88,CDM,Pickel,"Grenoble Foot 38","France Ligue 2",Switzerland,INTERCEPTIONS
2171,88,ST,Pellè,"Shandong Luneng Taishan","China Super League",Italy,TARGETMAN
2172,88,ST,Delort,"Montpellier HSC","France Ligue 1",Algeria,SECONDSTRIKER
2173,88,ST,Toney,"Peterborough United","England League One",England,SECONDSTRIKER
2174,88,RM,Otávio,"FC Porto","Portugal Primeira Liga",Brazil,COUNTER
2175,88,CB,Tarkowski,Burnley,"England Premier League",England,PHYSICAL
2176,88,RM,Błaszczykowski,"Wisła Kraków","Poland Ekstraklasa",Poland,FREEKICK
2177,88,ST,Watkins,Brentford,"England Championship",England,SHOOTING
2178,88,CM,Seedorf,Milan,"Italy Serie A",Netherlands,CAPTAIN
2179,88,LW,Abass,"FC Utrecht","Holland Eredivisie",Ghana,SHOTPOWER
2180,88,GK,Limones,"CD Mirandés","Spain Segunda División",Spain,NUMBER1
2181,88,LW,Sterling,"Manchester City","England Premier League",England,DRIBBLING
2182,88,CF,Aubameyang,Arsenal,"England Premier League",Gabon,SECONDSTRIKER
2183,88,LB,Leibold,"Hamburger SV","Germany 2. Bundesliga",Germany,CROSSING
2184,88,RB,Darmian,Parma,"Italy Serie A",Italy,DEFENDING
2185,88,ST,Thuram,"Borussia M gladbach","Germany 1. Bundesliga",France,SECONDSTRIKER
2186,88,LW,"Diego Castro","Perth Glory","Australia A-League",Spain,SHOTPOWER
2187,88,CB,Gigot,"Spartak Moskva","Rest of W",France,HOLDING
2188,88,CB,"Park Ji Soo","Guangzhou Evergrande Taobao","China Super League","Korea Republic",HOLDING
2189,88,ST,Kane,"Tottenham Hotspur","England Premier League",England,POACHER
2190,88,LM,Rafa,"SL Benfica","Portugal Primeira Liga",Portugal,COUNTER
2191,88,GK,Çakır,Trabzonspor,"Turkey Süper Lig",Turkey,NUMBER1
2192,88,ST,Courtet,"AC Ajaccio","France Ligue 2",France,TARGETMAN
2193,88,CM,Brandt,"Borussia Dortmund","Germany 1. Bundesliga",Germany,CAPTAIN
2194,88,ST,Pellè,"Shandong Luneng Taishan","China Super League",Italy,TARGETMAN
2195,88,ST,Poulsen,"RB Leipzig","Germany 1. Bundesliga",Denmark,POACHER
2196,88,RM,Sancho,"Borussia Dortmund","Germany 1. Bundesliga",England,BALLCONTROL
2197,88,CB,Vestergaard,Southampton,"England Premier League",Denmark,STOPPER
2198,88,CAM,Eriksen,"Tottenham Hotspur","England Premier League",Denmark,VISION
2199,88,CB,Saïss,"Wolverhampton Wanderers","England Premier League",Morocco,STOPPER
2200,88,RB,"Júnior Caiçara","Medipol Başakşehir","Turkey Süper Lig",Brazil,DEFENDING
2201,88,LW,Frieser,LASK,"Austria Bundesliga",Austria,AGILITY
2202,88,CAM,"João Teixeira","Vitória Guimarães","Portugal Primeira Liga",Portugal,COUNTER
2203,88,RM,Maina,"Hannover 96","Germany 2. Bundesliga",Germany,COUNTER
2204,88,CM,Frattesi,Empoli,"Italy Serie B",Italy,CAPTAIN
2205,88,CDM,Berge,Genk,"Belgium Pro League",Norway,DESTROYER
2206,88,CAM,"Álex Fernández","Cádiz CF","Spain Segunda División",Spain,VISION
2207,88,ST,"El Arabi","Olympiacos CFP","Rest of W",Morocco,FINISHING
2208,88,LB,Leibold,"Hamburger SV","Germany 2. Bundesliga",Germany,CROSSING
2209,88,CB,Bonucci,"Piemonte Calcio","Italy Serie A",Italy,HOLDING
2210,88,CM,Kovačić,Chelsea,"England Premier League",Croatia,BOXTOBOX
2211,88,CB,Marquinhos,"Paris Saint-Germain","France Ligue 1",Brazil,TACKLING
2212,88,ST,Poulsen,"RB Leipzig","Germany 1. Bundesliga",Denmark,POACHER
2213,88,RB,Kimmich,"Bayern München","Germany 1. Bundesliga",Germany,BALANCED
2214,88,ST,Kane,"Tottenham Hotspur","England Premier League",England,POACHER
2215,88,CB,Vestergaard,Southampton,"England Premier League",Denmark,STOPPER
2216,88,CB,Škriniar,Inter,"Italy Serie A",Slovakia,MARKING
2217,88,ST,Chhetri,"Bengaluru FC","Indian Super League",India,SECONDSTRIKER
2218,88,CAM,Fortounis,"Olympiacos CFP","Rest of W",Greece,CAPTAIN
2219,88,CB,Gigot,"Spartak Moskva","Rest of W",France,HOLDING
2220,88,CDM,Karlström,"Djurgårdens IF","Sweden Allsvenskan",Sweden,TACKLING
2221,88,CM,Brandt,"Borussia Dortmund","Germany 1. Bundesliga",Germany,CAPTAIN
2222,88,GK,Çakır,Trabzonspor,"Turkey Süper Lig",Turkey,NUMBER1
2223,88,ST,Coro,"FC Goa","Indian Super League",Spain,SHOOTING
2224,88,ST,Courtet,"AC Ajaccio","France Ligue 2",France,TARGETMAN
2225,88,CDM,Damour,"Heart of Midlothian","Scotland Premiership",France,CAPTAIN
2226,88,CM,Kovačić,Chelsea,"England Premier League",Croatia,BOXTOBOX
2227,88,CB,Škriniar,Inter,"Italy Serie A",Slovakia,PHYSICAL
2228,88,RW,Salah,Liverpool,"England Premier League",Egypt,SHOTPOWER
2229,88,ST,Immobile,Lazio,"Italy Serie A",Italy,POACHER
2230,88,GK,Maignan,"LOSC Lille","France Ligue 1",France,DIVING
2231,88,CM,Scholes,"Manchester United","England Premier League",England,BOXTOBOX
2232,88,ST,"El Arabi","Olympiacos CFP","Rest of W",Morocco,FINISHING
2233,88,RM,Błaszczykowski,"Wisła Kraków","Poland Ekstraklasa",Poland,FREEKICK
2234,88,ST,Martínez,Inter,"Italy Serie A",Argentina,SHOOTING
2235,88,CAM,Ljajić,Beşiktaş,"Turkey Süper Lig",Serbia,LONGSHOTS
2236,88,RB,Lala,"RC Strasbourg","France Ligue 1",France,DEFENDING
2237,88,CDM,Kimmich,"Bayern München","Germany 1. Bundesliga",Germany,LONGPASSING
2238,88,RM,Amrabat,"Al Nassr","Saudi Pro League",Morocco,BALLCONTROL
2239,88,CM,Frattesi,Empoli,"Italy Serie B",Italy,CAPTAIN
2240,88,ST,Volland,"Bayer 04 Leverkusen","Germany 1. Bundesliga",Germany,TARGETMAN
2241,88,CAM,"Álex Fernández","Cádiz CF","Spain Segunda División",Spain,VISION
2242,87,CB,Djiku,"RC Strasbourg","France Ligue 1",France,TACKLING
2243,87,RW,Traoré,"Olympique Lyonnais","France Ligue 1","Burkina Faso",SPEED
2244,87,LM,Goodwin,"Al Wehda","Saudi Pro League",Australia,LONGSHOTS
2245,87,CB,Fall,"FC Goa","Indian Super League",Senegal,HOLDING
2246,87,RM,Karaca,Alanyaspor,"Turkey Süper Lig",Turkey,LONGSHOTS
2247,87,ST,Suárez,"FC Barcelona","Spain Primera División",Uruguay,SHOOTING
2248,87,CDM,André,"LOSC Lille","France Ligue 1",France,INTERCEPTIONS
2249,87,RM,Karaca,Alanyaspor,"Turkey Süper Lig",Turkey,LONGSHOTS
2250,87,RW,Pelé,"En Avant Guingamp","France Ligue 2",France,AGILITY
2251,87,CDM,Jahouh,"FC Goa","Indian Super League",Morocco,LONGPASSING
2252,87,CM,Cyprien,"OGC Nice","France Ligue 1",France,BOXTOBOX
2253,87,CM,Goretzka,"Bayern München","Germany 1. Bundesliga",Germany,PASSING
2254,87,CB,Umtiti,"FC Barcelona","Spain Primera División",France,HOLDING
2255,87,ST,Iličić,Atalanta,"Italy Serie A",Slovenia,SECONDSTRIKER
2256,87,CB,Chiellini,"Piemonte Calcio","Italy Serie A",Italy,STRENGTH
2257,87,CF,Griezmann,"FC Barcelona","Spain Primera División",France,SHOOTING
2258,87,CAM,Moralez,"New York City FC","USA Major League Soccer",Argentina,BALLCONTROL
2259,87,RW,Delfouneso,Blackpool,"England League One",England,DRIBBLING
2260,87,RM,Candreva,Inter,"Italy Serie A",Italy,BALLCONTROL
2261,87,CM,Sarcevic,"Plymouth Argyle","England League Two",England,DESTROYER
2262,87,CB,Upamecano,"RB Leipzig","Germany 1. Bundesliga",France,HOLDING
2263,87,CAM,Ziyech,Ajax,"Holland Eredivisie",Morocco,COUNTER
2264,87,GK,Casteels,"VfL Wolfsburg","Germany 1. Bundesliga",Belgium,REFLEXES
2265,87,CAM,Valeri,"Portland Timbers","USA Major League Soccer",Argentina,LONGSHOTS
2266,87,RM,Corona,"FC Porto","Portugal Primeira Liga",Mexico,VISION
2267,87,RB,Carvajal,"Real Madrid","Spain Primera División",Spain,REACTIONS
2268,87,CDM,Petros,"Al Nassr","Saudi Pro League",Brazil,LONGPASSING
2269,87,ST,Junker,"FK Bodø/Glimt","Norway Eliteserien",Denmark,SECONDSTRIKER
2270,87,CB,"Sergio Ramos","Real Madrid","Spain Primera División",Spain,STRENGTH
2271,87,LM,Goodwin,"Al Wehda","Saudi Pro League",Australia,LONGSHOTS
2272,87,CM,Ramsey,"Piemonte Calcio","Italy Serie A",Wales,CAPTAIN
2273,87,ST,Pope,"Port Vale","England League Two",England,SECONDSTRIKER
2274,87,CB,Jullien,Celtic,"Scotland Premiership",France,MARKING
2275,87,CM,Green,"Crewe Alexandra","England League Two","Republic of Ireland",CAPTAIN
2276,87,ST,Alibec,"Astra Giurgiu","Romania Liga I",Romania,DRIBBLING
2277,87,GK,Neuer,"Bayern München","Germany 1. Bundesliga",Germany,DIVING
2278,87,GK,Sirigu,Torino,"Italy Serie A",Italy,GKPOSITIONING
2279,87,CAM,Moralez,"New York City FC","USA Major League Soccer",Argentina,BALLCONTROL
2280,87,ST,"Gabriel Jesus","Manchester City","England Premier League",Brazil,TARGETMAN
2281,87,ST,Samatta,Genk,"Belgium Pro League",Tanzania,SECONDSTRIKER
2282,87,LB,Digne,Everton,"England Premier League",France,CROSSING
2283,87,CB,"Rúben Semedo","Olympiacos CFP","Rest of W",Portugal,HOLDING
2284,87,CAM,Ziyech,Ajax,"Holland Eredivisie",Morocco,COUNTER
2285,87,CAM,Valeri,"Portland Timbers","USA Major League Soccer",Argentina,LONGSHOTS
2286,87,RW,Delfouneso,Blackpool,"England League One",England,DRIBBLING
2287,87,CM,Sarcevic,"Plymouth Argyle","England League Two",England,DESTROYER
2288,87,CDM,Gruezo,"FC Augsburg","Germany 1. Bundesliga",Ecuador,INTERCEPTIONS
2289,87,ST,Agüero,"Manchester City","England Premier League",Argentina,TARGETMAN
2290,87,CB,"Diego Carlos","Sevilla FC","Spain Primera División",Brazil,STOPPER
2291,87,CDM,Milivojević,"Crystal Palace","England Premier League",Serbia,LONGPASSING
2292,87,CAM,"Carles Gil","New England Revolution","USA Major League Soccer",Spain,COUNTER
2293,87,ST,Rangel,"América de Cali","Colombia Categoría Primera",Colombia,FINISHING
2294,87,LM,Pirès,Arsenal,"England Premier League",France,LONGSHOTS
2295,87,ST,Pope,"Port Vale","England League Two",England,SECONDSTRIKER
2296,87,CM,Cruz,"FC Cincinnati","USA Major League Soccer","Costa Rica",PASSING
2297,87,CM,Green,"Crewe Alexandra","England League Two","Republic of Ireland",CAPTAIN
2298,87,LW,Rodríguez,"Cruz Azul","Mexico Liga MX",Uruguay,SHOTPOWER
2299,87,CB,"Diego Carlos","Sevilla FC","Spain Primera División",Brazil,STOPPER
2300,87,CAM,"Bruno Fernandes","Sporting CP","Portugal Primeira Liga",Portugal,VISION
2301,87,LW,Vako,"San Jose Earthquakes","USA Major League Soccer",Georgia,DRIBBLING
2302,87,ST,Arroyo,"Newcastle Jets","Australia A-League",Panama,SECONDSTRIKER
2303,87,ST,Kluivert,"FC Barcelona","Spain Primera División",Netherlands,TARGETMAN
2304,87,RM,Candreva,Inter,"Italy Serie A",Italy,BALLCONTROL
2305,87,RB,Gönül,Beşiktaş,"Turkey Süper Lig",Turkey,DEFENDING
2306,87,CB,Upamecano,"RB Leipzig","Germany 1. Bundesliga",France,HOLDING
2307,87,LB,Digne,Everton,"England Premier League",France,CROSSING
2308,87,LB,Zambrotta,"Piemonte Calcio","Italy Serie A",Italy,DEFENDING
2309,87,RW,Guilherme,Trabzonspor,"Turkey Süper Lig",Brazil,AGILITY
2310,87,LM,"Daniel Podence","Wolverhampton Wanderers","England Premier League",Portugal,FREEKICK
2311,87,CF,Toro,Tondela,"Portugal Primeira Liga",Honduras,FINISHING
2312,87,CAM,"Carles Gil","New England Revolution","USA Major League Soccer",Spain,COUNTER
2313,87,CDM,Breeveld,"Politehnica Iași","Romania Liga I",Suriname,LONGPASSING
2314,87,CAM,"Bruno Fernandes","Manchester United","England Premier League",Portugal,FREEKICK
2315,87,CM,Herrera,"Atlético de Madrid","Spain Primera División",Mexico,BOXTOBOX
2316,87,RF,Flores,"Portland Timbers","USA Major League Soccer","El Salvador",SPEED
2317,87,ST,Hennings,"Fortuna Düsseldorf","Germany 1. Bundesliga",Germany,TARGETMAN
2318,87,CDM,Milivojević,"Crystal Palace","England Premier League",Serbia,LONGPASSING
2319,87,CAM,"Bruno Fernandes","Sporting CP","Portugal Primeira Liga",Portugal,VISION
2320,87,RWB,Moses,Inter,"Italy Serie A",Nigeria,PACE
2321,87,GK,Lopes,"Olympique Lyonnais","France Ligue 1",Portugal,GKPOSITIONING
2322,87,CDM,Wanyama,"Montreal Impact","USA Major League Soccer",Kenya,DESTROYER
2323,87,LW,Vako,"San Jose Earthquakes","USA Major League Soccer",Georgia,DRIBBLING
2324,87,ST,Samatta,Genk,"Belgium Pro League",Tanzania,SECONDSTRIKER
2325,87,CB,"Rúben Semedo","Olympiacos CFP","Rest of W",Portugal,HOLDING
2326,87,CB,Christensen,Chelsea,"England Premier League",Denmark,MARKING
2327,87,RB,Gönül,Beşiktaş,"Turkey Süper Lig",Turkey,DEFENDING
2328,87,RM,"Gedson Fernandes","Tottenham Hotspur","England Premier League",Portugal,LONGSHOTS
2329,87,CM,Cruz,"FC Cincinnati","USA Major League Soccer","Costa Rica",PASSING
2330,87,ST,Reus,"Borussia Dortmund","Germany 1. Bundesliga",Germany,SHOOTING
2331,87,RW,Guilherme,Trabzonspor,"Turkey Süper Lig",Brazil,AGILITY
2332,87,CB,Chiellini,"Piemonte Calcio","Italy Serie A",Italy,STRENGTH
2333,87,ST,Agüero,"Manchester City","England Premier League",Argentina,TARGETMAN
2334,87,CB,"Sergio Ramos","Real Madrid","Spain Primera División",Spain,STRENGTH
2335,87,ST,Suárez,"FC Barcelona","Spain Primera División",Uruguay,SHOOTING
2336,87,ST,Lewandowski,"Bayern München","Germany 1. Bundesliga",Poland,TARGETMAN
2337,87,RB,Wan-Bissaka,"Manchester United","England Premier League",England,BALANCED
2338,87,CDM,"Sergio Busquets","FC Barcelona","Spain Primera División",Spain,LONGPASSING
2339,87,GK,"De Gea","Manchester United","England Premier League",Spain,HANDLING
2340,87,GK,Navas,"Paris Saint-Germain","France Ligue 1","Costa Rica",HANDLING
2341,87,CDM,Gueye,"Paris Saint-Germain","France Ligue 1",Senegal,INTERCEPTIONS
2342,87,CF,Griezmann,"FC Barcelona","Spain Primera División",France,SHOOTING
2343,87,CB,Koulibaly,Napoli,"Italy Serie A",Senegal,STRENGTH
2344,87,ST,Arroyo,"Newcastle Jets","Australia A-League",Panama,SECONDSTRIKER
2345,87,ST,Kane,"Tottenham Hotspur","England Premier League",England,TARGETMAN
2346,87,GK,Alisson,Liverpool,"England Premier League",Brazil,GKPOSITIONING
2347,87,CDM,Kanté,Chelsea,"England Premier League",France,PASSING
2348,87,CAM,Pellegrini,Roma,"Italy Serie A",Italy,LONGSHOTS
2349,87,ST,Mbappé,"Paris Saint-Germain","France Ligue 1",France,SHOOTING
2350,87,ST,Connolly,"Brighton & Hove Albion","England Premier League","Republic of Ireland",ACCELERATION
2351,87,LB,Nagatomo,Galatasaray,"Turkey Süper Lig",Japan,REACTIONS
2352,87,LM,"Daniel Podence","Wolverhampton Wanderers","England Premier League",Portugal,FREEKICK
2353,87,LM,Okugawa,"RB Salzburg","Austria Bundesliga",Japan,BALLCONTROL
2354,87,GK,"De Gea","Manchester United","England Premier League",Spain,HANDLING
2355,87,GK,Schmidt,Sint-Truiden,"Belgium Pro League",Japan,NUMBER1
2356,87,CF,Toro,Tondela,"Portugal Primeira Liga",Honduras,FINISHING
2357,87,ST,Reus,"Borussia Dortmund","Germany 1. Bundesliga",Germany,SHOOTING
2358,87,CDM,Keane,"Manchester United","England Premier League","Republic of Ireland",DESTROYER
2359,87,ST,Hennings,"Fortuna Düsseldorf","Germany 1. Bundesliga",Germany,TARGETMAN
2360,87,CDM,Breeveld,"Politehnica Iași","Romania Liga I",Suriname,LONGPASSING
2361,87,RWB,Moses,Inter,"Italy Serie A",Nigeria,PACE
2362,87,RF,Flores,"Portland Timbers","USA Major League Soccer","El Salvador",SPEED
2363,87,CDM,Wanyama,"Montreal Impact","USA Major League Soccer",Kenya,DESTROYER
2364,87,RB,Wan-Bissaka,"Manchester United","England Premier League",England,BALANCED
2365,87,GK,Navas,"Paris Saint-Germain","France Ligue 1","Costa Rica",HANDLING
2366,87,RM,Koke,"Atlético de Madrid","Spain Primera División",Spain,VISION
2367,87,CDM,"Sergio Busquets","FC Barcelona","Spain Primera División",Spain,LONGPASSING
2368,87,LB,Tagliafico,Ajax,"Holland Eredivisie",Argentina,DEFENDING
2369,87,CB,Giménez,"Atlético de Madrid","Spain Primera División",Uruguay,AGGRESSION
2370,87,GK,Neto,"FC Barcelona","Spain Primera División",Brazil,HANDLING
2371,87,RM,"Gedson Fernandes","Tottenham Hotspur","England Premier League",Portugal,LONGSHOTS
2372,87,RW,Bale,"Real Madrid","Spain Primera División",Wales,ATTACKING
2373,87,CM,Midtsjø,AZ,"Holland Eredivisie",Norway,LONGPASSING
