,Course Name,University,Location,Cost,Cost per,Duration,Extra
988,Information Systems, The University of Texas at Arlington ," Texas City, Texas, United States ",19095 EUR,year,2 years,M.Sc. Full-time
989,Human-Computer Interaction, Tallinn University ," Tallinn, Estonia ",3500 EUR,year,2 years,M.Sc. Full-time
990,Cyber Security (Online), University of Derby Online Learning (UDOL) , Online ,10223 EUR,year,3 years,M.Sc. Part-time
991,IT Product Development, Aarhus University ," Aarhus, Denmark ",14500 EUR,year,2 years,M.Sc. Full-time
992,Sustainable Engineering - Renewable Energy Systems and the Environment, University of Strathclyde ," Glasgow, Scotland, United Kingdom ",25456 EUR,year,1 year,M.Sc. Full-time Part-time
993,Economics and Business Administration - Business Intelligence, Aarhus University ," Aarhus, Denmark ",10000 EUR,year,2 years,M.Sc. Full-time
994,Computer Science, University of Lincoln ," Lincoln, England, United Kingdom ",18641 EUR,year,1 year,M.Sc. Full-time Part-time
995,Business Analytics, Clark University ," Worcester, Massachusetts, United States ",4315 EUR,module, ,M.Sc. Full-time Part-time Blended Learning Online
996,Computer Science, Coventry University ," Coventry, England, United Kingdom ",20854 EUR,year, ,M.Sc. Full-time
997,Cybersecurity - Software and System Security, CyberSchool – Graduate Cybersecurity Research School ," Rennes, France ",,,2 years,Full-time
998,Information Systems, The University of Texas at Arlington ," Texas City, Texas, United States ",19095 EUR,year,2 years,M.Sc. Full-time
999,Human-Computer Interaction, Tallinn University ," Tallinn, Estonia ",3500 EUR,year,2 years,M.Sc. Full-time
1000,Master of Business Administration (Artificial Intelligence), Coventry University , Online ,22078 EUR,year,1 year,M.B.A. Full-time Part-time
1001,Geography - Geographic Information Sciences, South Dakota State University ," Brookings, South Dakota, United States ",535 EUR,credit,2 years,M.Sc. Full-time Blended Learning
1002,Interactive Computing and Information System, TED University ," Ankara, Turkey ",3303 EUR,year,2 years,M.Sc. Full-time
1003,Data Science for Politics and Policymaking, University of Strathclyde ," Glasgow, Scotland, United Kingdom ",18641 EUR,year,1 year,M.Sc. Full-time Part-time
1004,Geography, University of Lincoln ," Lincoln, England, United Kingdom ",18757 EUR,year,1 year,Full-time Part-time
1005,Master AIRE - Digital Sciences, The Center for Research and Interdisciplinarity (CRI) , Online ,334 EUR,year,2 years,M.Sc. Full-time Blended Learning
1006,Big Data Analytics, College of Science and Engineering ," Derby, England, United Kingdom ",17126 EUR,year,1 year,M.Sc. Full-time Part-time
1007,Open Society Technologies, Tallinn University ," Tallinn, Estonia ",3800 EUR,year,2 years,M.A. Full-time
1008,Data Science, South Dakota State University ," Brookings, South Dakota, United States ",535 EUR,credit,2 years,M.Sc. Full-time Blended Learning
1009,Data-Centric Engineering, LUT University ," Lappeenranta, Finland ",10000 EUR,year,2 years,M.Sc. Full-time
1010,Master of Business Administration (Artificial Intelligence), Coventry University , Online ,22078 EUR,year,1 year,M.B.A. Full-time Part-time
1011,Geography - Geographic Information Sciences, South Dakota State University ," Brookings, South Dakota, United States ",535 EUR,credit,2 years,M.Sc. Full-time Blended Learning
1012,Interactive Computing and Information System, TED University ," Ankara, Turkey ",3303 EUR,year,2 years,M.Sc. Full-time
1013,Data Science for Politics and Policymaking, University of Strathclyde ," Glasgow, Scotland, United Kingdom ",18641 EUR,year,1 year,M.Sc. Full-time Part-time
1014,Geography, University of Lincoln ," Lincoln, England, United Kingdom ",18757 EUR,year,1 year,Full-time Part-time
1015,Master AIRE - Digital Sciences, The Center for Research and Interdisciplinarity (CRI) , Online ,334 EUR,year,2 years,M.Sc. Full-time Blended Learning
1016,Big Data Analytics, College of Science and Engineering ," Derby, England, United Kingdom ",17126 EUR,year,1 year,M.Sc. Full-time Part-time
1017,Open Society Technologies, Tallinn University ," Tallinn, Estonia ",3800 EUR,year,2 years,M.A. Full-time
1018,Data Science, South Dakota State University ," Brookings, South Dakota, United States ",535 EUR,credit,2 years,M.Sc. Full-time Blended Learning
1019,Data-Centric Engineering, LUT University ," Lappeenranta, Finland ",10000 EUR,year,2 years,M.Sc. Full-time
1020,Master of Business Administration (Artificial Intelligence), Coventry University , Online ,22078 EUR,year,1 year,M.B.A. Full-time Part-time
1021,Geography - Geographic Information Sciences, South Dakota State University ," Brookings, South Dakota, United States ",535 EUR,credit,2 years,M.Sc. Full-time Blended Learning
1022,Interactive Computing and Information System, TED University ," Ankara, Turkey ",3303 EUR,year,2 years,M.Sc. Full-time
1023,Data Science for Politics and Policymaking, University of Strathclyde ," Glasgow, Scotland, United Kingdom ",18641 EUR,year,1 year,M.Sc. Full-time Part-time
1024,Geography, University of Lincoln ," Lincoln, England, United Kingdom ",18757 EUR,year,1 year,Full-time Part-time
1025,Master AIRE - Digital Sciences, The Center for Research and Interdisciplinarity (CRI) , Online ,334 EUR,year,2 years,M.Sc. Full-time Blended Learning
1026,Big Data Analytics, College of Science and Engineering ," Derby, England, United Kingdom ",17126 EUR,year,1 year,M.Sc. Full-time Part-time
1027,Open Society Technologies, Tallinn University ," Tallinn, Estonia ",3800 EUR,year,2 years,M.A. Full-time
1028,Data Science, South Dakota State University ," Brookings, South Dakota, United States ",535 EUR,credit,2 years,M.Sc. Full-time Blended Learning
1029,Data-Centric Engineering, LUT University ," Lappeenranta, Finland ",10000 EUR,year,2 years,M.Sc. Full-time
1030,Intelligent Embedded Systems, Mälardalen University ," Eskilstuna, Sweden ",13343 EUR,year,2 years,M.Sc. Full-time
1031,Computer Science and Engineering, International University of Sarajevo ," Sarajevo, Bosnia and Herzegovina ",,,1 year,M.Sc. Full-time
1032,Computer Engineering, Florida Atlantic University - Online , Online ,846 EUR,credit, ,M.Sc. Part-time
1033,Computer Engineering, The University of Texas at Arlington ," Texas City, Texas, United States ",19095 EUR,year,1 year,M.Sc. Full-time
1034,Data Analytics, University of Strathclyde ," Glasgow, Scotland, United Kingdom ",24816 EUR,year,1 year,Full-time
1035,AI and Robotics, Örebro University ," Örebro, Sweden ",21740 EUR,year,2 years,M.Sc. Full-time
1036,Information Technology and Management, Florida Atlantic University - Online , Online ,846 EUR,credit, ,M.Sc. Part-time
1037,Data Science, University of London ," London, England, United Kingdom ",9438 EUR,year,1 year,Full-time Online
1038,Smart Systems Engineering," Hanze University of Applied Sciences, Groningen "," Groningen, Netherlands ",7900 EUR,year,1½ years,M.Sc. Full-time
1039,Digital Health Systems, University of Strathclyde ," Glasgow, Scotland, United Kingdom ",22078 EUR,year,1 year,M.Sc. Full-time Part-time
1040,Machine Learning and Deep Learning, University of Strathclyde ," Glasgow, Scotland, United Kingdom ",25456 EUR,year,1 year,M.Sc. Full-time
1041,Cyber Security, College of Science and Engineering ," Derby, England, United Kingdom ",17126 EUR,year,1 year,M.Sc. Full-time Part-time
1042,Data Science, Coventry University ," Coventry, England, United Kingdom ",20854 EUR,year,1 year,M.Sc. Full-time Part-time
1043,Embedded Systems Engineering, Coventry University ," Coventry, England, United Kingdom ",20854 EUR,year,1 year,M.Sc. Full-time Part-time
1044,Cloud Computing, University of Lincoln ," Lincoln, England, United Kingdom ",18641 EUR,year,1 year,M.Sc. Full-time
1045,Project Management and Data Science, HTW Berlin ," Berlin, Germany ",8000 EUR,year,2 years,M.Sc. Full-time Online
1046,Data Driven Design, HU University of Applied Sciences Utrecht ," Utrecht, Netherlands ",8547 EUR,year,1 year,M.A. Full-time
1047,"Control, Automation and Artificial Intelligence", Coventry University ," Coventry, England, United Kingdom ",20854 EUR,year,1 year,M.Sc. Full-time Part-time
1048,Software Engineering, University of Amsterdam ," Amsterdam, Netherlands ",22880 EUR,year,1 year,M.Sc. Full-time
1049,Information and Communication Technology (Conversion), Anglia Ruskin University ," Cambridge, England, United Kingdom ",16893 EUR,year,1 year,M.Sc. Full-time Part-time
1050,Financial Technology, University of Strathclyde ," Glasgow, Scotland, United Kingdom ",29592 EUR,year,1 year,M.Sc. Full-time
1051,Protective Security and Resilience, Coventry University , Online ,16602 EUR,year,2 years,Part-time Blended Learning
1052,Intelligent Vision, University of Lincoln ," Lincoln, England, United Kingdom ",18641 EUR,year,1 year,M.Sc. Full-time
1053,Geo-Information Science, Wageningen University and Research ," Wageningen, Netherlands ",17616 EUR,year,2 years,M.Sc. Full-time
1054,Social Analysis, Örebro University ," Örebro, Sweden ",6561 EUR,year,1 year,Full-time
1055,Computer Science, University of Lincoln ," Lincoln, England, United Kingdom ",18757 EUR,year,1 year,Full-time Part-time
1056,Machine Learning, Mohamed bin Zayed University of Artificial Intelligence ," Abu Dhabi, United Arab Emirates ",0 EUR,year,1 year,M.Sc. Full-time
1057,Computer Vision, Mohamed bin Zayed University of Artificial Intelligence ," Abu Dhabi, United Arab Emirates ",0 EUR,year,1 year,M.Sc. Full-time
1058,Information Systems, University College Dublin ," Dublin, Ireland ",19900 EUR,year,1 year,M.Sc. Full-time Part-time
1059,Digital Information Management, University College Dublin ," Dublin, Ireland ",19900 EUR,year,1 year,M.Sc. Full-time Part-time
1060,Human Computer Interaction, University College Dublin ," Dublin, Ireland ",18700 EUR,year,1 year,M.Sc. Full-time
1061,Library and Information Studies, University College Dublin ," Dublin, Ireland ",19900 EUR,year,1 year,Full-time Part-time
1062,Information Management, KU Leuven ," Leuven, Belgium ",3500 EUR,year,1 year,M.Sc. Full-time
1063,Sustainable Industrial Pharmaceutical Biotechnology, University of Siena ," Siena, Italy ",756 EUR,year,2 years,M.Sc. Full-time Blended Learning
1064,Computer Engineering for Robotics and Smart Industry, University of Verona ," Verona, Italy ",1000 EUR,year,2 years,Full-time
1065,Erasmus Mundus Master in Theoretical Chemistry and Computational Modelling, KU Leuven ," Leuven, Belgium ",3500 EUR,year,2 years,M.Sc. Full-time
1066,Bioscience Engineering - Human Health Engineering, KU Leuven ," Leuven, Belgium ",6000 EUR,year,2 years,M.Sc. Full-time
1067,Economics and Data Analysis, University of Verona ," Verona, Italy ",1000 EUR,year,2 years,Full-time
1068,"Sociology - Culture and Society, Social Data Science, Solidarity and Social Risks in Europe", KU Leuven ," Gent, Belgium ",3500 EUR,year,1 year,M.Sc. Full-time
1069,Computer Engineering, Politecnico di Torino ," Torino, Italy ",2601 EUR,year,2 years,M.Sc. Full-time
1070,Human Computer Interaction, University College Dublin ," Dublin, Ireland ",18700 EUR,year,1 year,M.Sc. Full-time
1071,Library and Information Studies, University College Dublin ," Dublin, Ireland ",19900 EUR,year,1 year,Full-time Part-time
1072,Information Management, KU Leuven ," Leuven, Belgium ",3500 EUR,year,1 year,M.Sc. Full-time
1073,Sustainable Industrial Pharmaceutical Biotechnology, University of Siena ," Siena, Italy ",756 EUR,year,2 years,M.Sc. Full-time Blended Learning
1074,Computer Engineering for Robotics and Smart Industry, University of Verona ," Verona, Italy ",1000 EUR,year,2 years,Full-time
1075,Erasmus Mundus Master in Theoretical Chemistry and Computational Modelling, KU Leuven ," Leuven, Belgium ",3500 EUR,year,2 years,M.Sc. Full-time
1076,Bioscience Engineering - Human Health Engineering, KU Leuven ," Leuven, Belgium ",6000 EUR,year,2 years,M.Sc. Full-time
1077,Economics and Data Analysis, University of Verona ," Verona, Italy ",1000 EUR,year,2 years,Full-time
1078,"Sociology - Culture and Society, Social Data Science, Solidarity and Social Risks in Europe", KU Leuven ," Gent, Belgium ",3500 EUR,year,1 year,M.Sc. Full-time
1079,Computer Engineering, Politecnico di Torino ," Torino, Italy ",2601 EUR,year,2 years,M.Sc. Full-time
1080,Artificial Intelligence and Automation Engineering, University of Siena ," Siena, Italy ",756 EUR,year,2 years,M.Sc. Full-time Blended Learning
1081,Business Engineering, KU Leuven ," Leuven, Belgium ",3500 EUR,year,2 years,M.Sc. Full-time
1082,Data Science and Engineering, Politecnico di Torino ," Torino, Italy ",2601 EUR,year,2 years,M.Sc. Full-time
1083,Data Science, University of Verona ," Verona, Italy ",1000 EUR,year,2 years,Full-time
1084,Artificial Intelligence, KU Leuven ," Leuven, Belgium ",3500 EUR,year,1 year,M.Sc. Full-time
1085,Engineering - Computer Science, KU Leuven ," Leuven, Belgium ",6000 EUR,year,2 years,M.Sc. Full-time
1086,Digital Skills for Sustainable Societal Transitions, Politecnico di Torino ," Torino, Italy ",2601 EUR,year,2 years,M.Sc. Full-time
1087,Medical Bioinformatics, University of Verona ," Verona, Italy ",1000 EUR,year,2 years,Full-time
1088,Bioinformatics, KU Leuven ," Leuven, Belgium ",6000 EUR,year,2 years,M.Sc. Full-time
1089,ICT for Smart Societies, Politecnico di Torino ," Torino, Italy ",2601 EUR,year,2 years,M.Sc. Full-time
1090,Imaging and Light in Extended Reality - Erasmus Mundus, KU Leuven , Multiple locations ,8000 EUR,year,2 years,M.Sc. Full-time
1091,Communications and Computer Networks Engineering, Politecnico di Torino ," Torino, Italy ",2601 EUR,year,2 years,M.Sc. Full-time
1092,Data Science, Warsaw University of Technology ," Warsaw, Poland ",4800 EUR,year,2 years,M.Sc. Full-time
1093,Mobile Mapping and Navigation Systems, Warsaw University of Technology ," Warsaw, Poland ",2000 EUR,year,1½ years,M.Sc. Full-time
1094,Artificial Intelligence, Warsaw University of Technology ," Warsaw, Poland ",4800 EUR,year,1½ years,M.Sc. Full-time
1095,Electrical Engineering, Warsaw University of Technology ," Warsaw, Poland ",4000 EUR,year,1½ years,M.Sc. Full-time
1096,Computer Systems and Networks, Warsaw University of Technology ," Warsaw, Poland ",5400 EUR,year,2 years,M.Sc. Full-time
1097,Telecommunications, Warsaw University of Technology ," Warsaw, Poland ",5400 EUR,year,2 years,M.Sc. Full-time
1098,Robotics, Warsaw University of Technology ," Warsaw, Poland ",3000 EUR,year,2 years,M.Sc. Full-time
1099,Data Analytics for Business, ISEG - Lisbon School of Economics and Management ," Lisbon, Portugal ",5433 EUR,year,1½ years,M.Sc. Full-time
1100,Software Engineering, University of Limerick ," Limerick, Ireland ",14750 EUR,year,1 year,M.Sc. Full-time
1101,Artificial Intelligence and Machine Learning, University of Limerick ," Limerick, Ireland ",13750 EUR,year,1 year,M.Sc. Full-time
1102,Information and Network Security, University of Limerick ," Limerick, Ireland ",14750 EUR,year,1 year,M.Eng. Full-time Part-time
1103,Business Analytics, University of Limerick ," Limerick, Ireland ",14934 EUR,year,1 year,M.Sc. Full-time
1104,Electrical and Computer Engineering, McMaster University ," Hamilton, Canada ",7743 EUR,year,1 year,M.Eng. Full-time Part-time
1105,Computer Science, University of Miami ," Miami, Florida, United States ",32257 EUR,year,1 year,M.Sc. Full-time
1106,Software Engineering (Non-Thesis), Bogazici University ," Istanbul, Turkey ",124 EUR,credit,1 year,M.Sc. Full-time
1107,Communications Technology, Ulm University ," Ulm, Germany ",3000 EUR,year,2 years,M.Sc. Full-time
1108,Mechanical Engineering," University of California, Los Angeles (UCLA) "," Beverly Hills, California, United States ",26912 EUR,year,1 year,M.Sc. Full-time
1109,Management Information Systems, Unicaf Scholarships , Online ,,,1 year,M.B.A. Part-time
1110,Healthcare, University of Central Oklahoma ," Edmond, Oklahoma, United States ",11094 EUR,year,1 year,M.B.A. Full-time
1111,Information Technology, IGlobal University ," Vienna, Virginia, United States ",44595 EUR,year,1 year,M.Sc. Full-time
1112,Computer Network Systems, The University of Aizu ," Ishikawa, Japan ",4124 EUR,year,2 years,Full-time
1113,Computer Software and Theory, Xi'an Shiyou University ," Xiangxiang, China ",3255 EUR,year,3 years,Full-time
1114,Digital Transformation, Moscow Institute of Physics and Technology (MIPT) ," Moscow, Russia ",4519 EUR,year,2 years,Full-time
1115,Computer Science, Kansas State University , Online ,351 EUR,credit,1 year,M.Sc. Full-time Part-time
1116,Computer Science," University of California, Berkeley "," Berkeley, California, United States ",21921 EUR,year,2 years,M.Sc. Full-time
1117,Business Information Technology Management," International Business School, The Hague Netherlands "," Den Haag, Netherlands ",8500 EUR,year,2 years,M.Sc. Full-time Part-time
1118,"Robotics, Cognition, Intelligence", Technical University of Munich ," Garching bei München, Germany ",284 EUR,year,2 years,M.Sc. Full-time
1119,Business – Information Systems, Baylor University ," Waco, Texas, United States ",1533 EUR,credit,1 year,Full-time
1120,Information & Library Studies, Aberdeen Business School - Robert Gordon University , Online ,11208 EUR,year,1 year,Full-time Part-time
1121,Information Management and Preservation, University of Glasgow ," Glasgow, Scotland, United Kingdom ",22544 EUR,year,1 year,Full-time Part-time
1122,Data Science, Illinois Institute of Technology ," Chicago, Illinois, United States ",1333 EUR,credit,1 year,Full-time
1123,Computer Science, University of Adelaide ," Adelaide, South Australia, Australia ",27998 EUR,year,2 years,Full-time Part-time
1124,"Software Engineering, Concentration in Cybersecurity", San José State University ," San Jose, California, United States ",5926 EUR,year,1 year,M.Sc. Full-time
1125,Advanced Computing, Imperial College London ," London, England, United Kingdom ",40485 EUR,year,1 year,M.Sc. Full-time
1126,e-Science," University of the Witwatersrand, Johannesburg "," Johannesburg, South Africa ",2222 EUR,year,1½ years,M.Sc. Full-time
1127,Usability and Human Computer Interaction (Distance Learning), University of Nottingham , Online ,,,1 year,Postgraduate Certificate Part-time
1128,Technology Entrepreneurship, London Metropolitan University ," London, England, United Kingdom ",16544 EUR,year,1 year,M.Sc. Full-time Part-time
1129,Computer Science and Engineering, BRAC University ," Dhaka, Bangladesh ",116 EUR,credit,1 year,Full-time
1130,Information & Library Studies, Aberdeen Business School - Robert Gordon University , Online ,11208 EUR,year,1 year,Full-time Part-time
1131,Information Management and Preservation, University of Glasgow ," Glasgow, Scotland, United Kingdom ",22544 EUR,year,1 year,Full-time Part-time
1132,Data Science, Illinois Institute of Technology ," Chicago, Illinois, United States ",1333 EUR,credit,1 year,Full-time
1133,Computer Science, University of Adelaide ," Adelaide, South Australia, Australia ",27998 EUR,year,2 years,Full-time Part-time
1134,"Software Engineering, Concentration in Cybersecurity", San José State University ," San Jose, California, United States ",5926 EUR,year,1 year,M.Sc. Full-time
1135,Advanced Computing, Imperial College London ," London, England, United Kingdom ",40485 EUR,year,1 year,M.Sc. Full-time
1136,e-Science," University of the Witwatersrand, Johannesburg "," Johannesburg, South Africa ",2222 EUR,year,1½ years,M.Sc. Full-time
1137,Usability and Human Computer Interaction (Distance Learning), University of Nottingham , Online ,,,1 year,Postgraduate Certificate Part-time
1138,Technology Entrepreneurship, London Metropolitan University ," London, England, United Kingdom ",16544 EUR,year,1 year,M.Sc. Full-time Part-time
1139,Computer Science and Engineering, BRAC University ," Dhaka, Bangladesh ",116 EUR,credit,1 year,Full-time
1140,"Promotional Media - Public Relations, Advertising and Marketing"," Goldsmiths, University of London "," London, England, United Kingdom ",20691 EUR,year,1 year,M.A. Full-time Part-time
1141,Cyber Security, ETH Zurich - Swiss Federal Institute of Technology ," Zürich, Switzerland ",1324 EUR,year,2 years,M.Sc. Full-time
1142,Computer Science, University of New Brunswick ," Fredericton, Canada ",975 EUR,module,1 year,Full-time
1143,Bioinformatics, University of Illinois at Chicago ," Chicago, Illinois, United States ",20430 EUR,year,1 year,M.Sc. Full-time
1144,Cyber Security (CSE), EIT Digital , Multiple locations ,14000 EUR,year,2 years,M.Sc. Full-time
1145,Computer Engineering, University of Houston Clear Lake ," Webster, Texas, United States ",16826 EUR,year,1 year,M.Sc. Full-time
1146,"Computer and Information Science, Software Engineering", State University of New York Polytechnic Institute , Online ,14033 EUR,year, ,M.Sc. Full-time
1147,Economics with Data Analytics, University of Essex ," Colchester, England, United Kingdom ",22579 EUR,year,1 year,M.Sc. Full-time
1148,Applied Computer Technology, Xi'an Shiyou University ," Xiangxiang, China ",3255 EUR,year,3 years,Full-time
1149,Health and Medical Informatics, Brandeis University , Online ,42894 EUR,year,1 year,M.Sc. Part-time
1150,Professional Studies in Homeland Security - Information Security and Forensics Option, Pennsylvania State University , Online ,763 EUR,credit,1 year,Part-time
1151,Electrical & Computer Engineering (Communication), University of Florida , Online ,24886 EUR,year,2 years,M.Sc. Full-time
1152,Cybersecurity - Computer Engineering, University of Alabama Huntsville ," Huntsville, Alabama, United States ",20175 EUR,year,1 year,M.Sc. Full-time
1153,Communications and Signal Processing, University of Leeds ," Leeds, England, United Kingdom ",,,1 year,M.Sc. Full-time
1154,Communications and Signal Processing, Newcastle University ," Newcastle upon Tyne, England, United Kingdom ",28311 EUR,year,1 year,M.Sc. Full-time
1155,Information Systems, Pennsylvania State University ," University Park, Pennsylvania, United States ",32802 EUR,year,1 year,M.Sc. Full-time
1156,Information Technology and Management, University of Texas at Dallas ," Richardson, Texas, United States ",32478 EUR,year,1 year,M.Sc. Full-time
1157,Electrical Engineering - Computer Networks, University of Southern California ," Los Angeles, California, United States ",1816 EUR,credit,2 years,M.Sc. Full-time Online
1158,Bioinformatics, Freie Universität Berlin ," Berlin, Germany ",0 EUR,year,2 years,M.Sc. Full-time
1159,Electrical and Computer Engineering, University of Minnesota ," Minneapolis, Minnesota, United States ",23407 EUR,year,1 year,Full-time
1160,Professional Studies in Homeland Security - Information Security and Forensics Option, Pennsylvania State University , Online ,763 EUR,credit,1 year,Part-time
1161,Electrical & Computer Engineering (Communication), University of Florida , Online ,24886 EUR,year,2 years,M.Sc. Full-time
1162,Cybersecurity - Computer Engineering, University of Alabama Huntsville ," Huntsville, Alabama, United States ",20175 EUR,year,1 year,M.Sc. Full-time
1163,Communications and Signal Processing, University of Leeds ," Leeds, England, United Kingdom ",,,1 year,M.Sc. Full-time
1164,Communications and Signal Processing, Newcastle University ," Newcastle upon Tyne, England, United Kingdom ",28311 EUR,year,1 year,M.Sc. Full-time
1165,Information Systems, Pennsylvania State University ," University Park, Pennsylvania, United States ",32802 EUR,year,1 year,M.Sc. Full-time
1166,Information Technology and Management, University of Texas at Dallas ," Richardson, Texas, United States ",32478 EUR,year,1 year,M.Sc. Full-time
1167,Electrical Engineering - Computer Networks, University of Southern California ," Los Angeles, California, United States ",1816 EUR,credit,2 years,M.Sc. Full-time Online
1168,Bioinformatics, Freie Universität Berlin ," Berlin, Germany ",0 EUR,year,2 years,M.Sc. Full-time
1169,Electrical and Computer Engineering, University of Minnesota ," Minneapolis, Minnesota, United States ",23407 EUR,year,1 year,Full-time
1170,Postgraduate Enabling Program - IT, La Trobe College Australia , Multiple locations ,8209 EUR,year,3 months,Pre-Master Full-time
1171,Human Geography, Peking University ," Beijing, China ",4257 EUR,year,2 years,M.Sc. Full-time
1172,Information Science and Technology, Skolkovo Institute of Science and Technology (Skoltech) ," Moscow, Russia ",0 EUR,year,2 years,M.Sc. Full-time
1173,Data Analytics," National University of Ireland, Galway "," Galway, Ireland ",23750 EUR,year,1 year,Full-time
1174,Analytics, University of Chicago ," Chicago, Illinois, United States ",4100 EUR,module,1½ years,M.Sc. Full-time Part-time
1175,ICT Innovation (EIT Digital), KTH Royal Institute of Technology ," Haninge, Sweden ",12000 EUR,year,2 years,M.Sc. Full-time
1176,Bioinformatics, Indiana University - Purdue University Indianapolis ," Indianapolis, Indiana, United States ",,,1 year,M.Sc. Full-time
1177,Public Administration, University of Rhode Island ," Kingston, Rhode Island, United States ",24017 EUR,year,1½ years,Full-time
1178,Computer Science - Games and Media Integration, University of Colorado Colorado Springs (UCCS) ," Colorado Springs, Colorado, United States ",13228 EUR,year,1 year,M.Sc. Full-time
1179,Computer Science, University of Warwick ," Coventry, England, United Kingdom ",33227 EUR,year,1 year,M.Sc. Full-time
1180,Health Informatics, Marshall University ," Huntington, West Virginia, United States ",17476 EUR,year,2 years,M.Sc. Full-time
1181,Computer Science, Fairleigh Dickinson University ," Madison, New Jersey, United States ",702 EUR,credit,1 year,M.Sc. Full-time
1182,Intelligence Analysis, University of Detroit Mercy ," Highland Park, Michigan, United States ",1377 EUR,credit,2 years,M.Sc. Full-time
1183,Artificial Intelligence, University of Cincinnati ," Cincinnati, Ohio, United States ",22004 EUR,year,1 year,M.Eng. Full-time
1184,Computer Science, Concordia University Wisconsin ," Mequon, Wisconsin, United States ",611 EUR,credit,1 year,M.Sc. Full-time Online
1185,Geological Resources and Geological Engineering, Central South University ," Changsha, China ",3172 EUR,year,3 years,Full-time
1186,Artificial Intelligence (Distance Learning), University of Huddersfield , Online ,,,2 years,M.Sc. Part-time
1187,Computer Science, University of Waikato ," Hamilton, New Zealand ",21099 EUR,year,1 year,Full-time
1188,Information Technology, American Public University , Online ,306 EUR,credit,2 months,M.Sc. Part-time
1189,Accounting, Flinders University ," Adelaide, South Australia, Australia ",23862 EUR,year,2 years,Full-time Part-time
1190,Electrical and Electronic Engineering, Swiss Federal Institute of Technology in Lausanne ," Lausanne, Switzerland ",1316 EUR,year,2 years,M.Sc. Full-time
1191,Software Systems, University of Bath ," Bath, England, United Kingdom ",29126 EUR,year,1 year,M.Sc. Full-time
1192,Medical Informatics, University of Tübingen ," Tübingen, Germany ",3000 EUR,year,2 years,M.Sc. Full-time
1193,"Digital and Technology Solutions (Software Engineering Specialist) MSc (Specialist Integrated Degree Apprenticeship), M.Sc.", Newcastle University ," Newcastle upon Tyne, England, United Kingdom ",,,2 years,M.Sc. Part-time
1194,Computer Software Engineering, National University of Sciences and Technology ," Islamabad, Pakistan ",1470 EUR,year,1 year,M.Sc. Full-time
1195,Management Information Systems, University of South-Eastern Norway ," Kongsberg, Norway ",0 EUR,year,2 years,M.Sc. Full-time
1196,Applied Computer Science (with a concentration in Artificial Intelligence andMachine Learning), Wentworth Institute of Technology ," Boston, Massachusetts, United States ",937 EUR,credit,1 year,M.Sc. Full-time
1197,Data Science (part-time), Ulster University ," Belfast, N Ireland, United Kingdom ",17371 EUR,year,2 years,M.Sc. Part-time
1198,Smart Manufacturing Systems (Applied Research), Ulster University ," Derry, N Ireland, United Kingdom ",17371 EUR,year,1 year,M.Sc. Full-time
1199,Data Science (without Thesis), Koc University ," Istanbul, Turkey ",11046 EUR,year,1½ years,M.Sc. Full-time
1200,Managing Information Technology, Sullivan University ," Louisville, Kentucky, United States ",487 EUR,credit,1½ years,M.Sc. Full-time Online
1201,Business Administration - Management Information Systems, Park University ," Parkville, Missouri, United States ",493 EUR,credit,2 years,M.B.A. Full-time Blended Learning
1202,Remote Sensing and GIS, University Putra Malaysia ," Bandar Labuan, Malaysia ",3312 EUR,year,1½ years,M.Sc. Full-time
1203,Security And Information Assurance, King Fahd University of Petroleum & Minerals ," Dhahran, Saudi Arabia ",0 EUR,year,2 years,M.Sc. Full-time
1204,Information Technology, University of the Potomac-VA Campus ," Vienna, Virginia, United States ",9291 EUR,year, ,M.Sc. Full-time
1205,Computer Engineering, International Technological University ," San Jose, California, United States ",578 EUR,credit,2 years,M.Sc. Full-time
1206,Computer Science, Liverpool John Moores University ," Liverpool, England, United Kingdom ",18757 EUR,year,"2 years, 9 months",Full-time Part-time
1207,Electrical and Computer Engineering, University of Ottawa ," Ottawa, Canada ",12466 EUR,year,2 years,Full-time Part-time
1208,Business Data Analytics, Bond University ," Gold Coast, Queensland, Australia ",21400 EUR,year,"1 year, 4 months",Full-time Blended Learning
1209,Computing, Teesside University ," Middlesbrough, England, United Kingdom ",15146 EUR,year,1 year,M.Sc. Full-time Part-time Online
1210,Computer Engineering, The University of Texas at San Antonio ," Helotes, Texas, United States ",13270 EUR,year,1 year,M.Sc. Full-time
1211,Robotics, Carnegie Mellon University ," Pittsburgh, Pennsylvania, United States ",41374 EUR,year,2 years,M.Sc. Full-time
1212,Network Engineering and Security, DePaul University ," Chicago, Illinois, United States ",714 EUR,credit,2 years,M.Sc. Full-time
1213,Hydrographic Science, University of Southern Mississippi ," West Hattiesburg, Mississippi, United States ",403 EUR,credit,2 years,M.Sc. Full-time
1214,Graduate Pathway in Computer Science - Computer Science, The University of Alabama at Birmingham ," Birmingham, Alabama, United States ",13354 EUR,year,½ year,Pre-Master Full-time
1215,Big Data Technologies, Glasgow Caledonian University ," Glasgow, Scotland, United Kingdom ",15728 EUR,year,1 year,M.Sc. Full-time Part-time
1216,Information Assurance and Cybersecurity, Nova Southeastern University ," Davie, Florida, United States ",722 EUR,credit,2 years,M.Sc. Full-time Online
